Clase_Plato,Ingredientes_Allrecipes
bruschetta,"1 loaf French bread, cut into 1/4-inch slices | 1 tablespoon extra-virgin olive oil | 8 roma (plum) tomatoes, diced | 0.33333334326744 cup chopped fresh basil | 1 ounce Parmesan cheese, freshly grated | 2 cloves garlic, minced | 1 tablespoon good quality balsamic vinegar | 2 teaspoons extra-virgin olive oil | 0.25 teaspoon kosher salt | 0.25 teaspoon freshly ground black pepper"
caesar_salad,"0.25 pound bacon | 4 skinless, boneless chicken breast halves - cut into strips | 1 teaspoon Cajun seasoning | 1 tablespoon light olive oil | 1 head romaine lettuce- rinsed, dried and chopped | 0.5 cup Caesar salad dressing | 0.33333334326744 cup grated Parmesan cheese"
cannoli,"2 cups ricotta cheese | 1 (8 ounce) package cream cheese, at room temperature | 1.5 cups confectioners' sugar | 1 teaspoon vanilla extract | 1 cup miniature semisweet chocolate chips"
caprese_salad,"1 cup balsamic vinegar | 0.25 cup honey | 3 large tomatoes, cut into 1/2-inch slices | 1 (16 ounce) package fresh mozzarella cheese, cut into 1/4-inch slices | 0.25 teaspoon salt | 0.25 teaspoon ground black pepper | 0.5 cup fresh basil leaves | 0.25 cup extra-virgin olive oil"
carrot_cake,"2 cups white sugar | 1.25 cups vegetable oil | 4 eggs | 2 teaspoons vanilla extract | 2 cups all-purpose flour | 2 teaspoons baking soda | 2 teaspoons baking powder | 2 teaspoons ground cinnamon | 0.5 teaspoon salt | 3 cups grated carrots | 1 cup chopped pecans | 4 cups confectioners' sugar | 8 ounces cream cheese, softened | 0.5 cup butter, softened | 1 teaspoon vanilla extract | 1 cup chopped pecans"
ceviche,"1 pound bay scallops | 8 limes, juiced | 2 stalks celery, sliced | 2 tomatoes, diced | 0.5 green bell pepper, minced | 5 green onions, minced | 0.5 cup chopped fresh parsley | 0.125 cup chopped fresh cilantro | 1.5 tablespoons olive oil | freshly ground black pepper to taste"
cheesecake,1 (9 inch) prepared graham cracker crust | 16 ounces cream cheese | 2 eggs | 0.75 cup white sugar | 2 teaspoons vanilla extract | 0.5 teaspoon grated lemon zest
cheese_plate,4 ounces dry fettuccine pasta | 1 cup heavy whipping cream | 2 tablespoons butter | 1 ounce tomato sauce | 0.5 teaspoon minced garlic | 0.5 cup broccoli florets | 0.25 cup fresh sliced mushrooms | salt to taste | ground black pepper to taste | 2 tablespoons grated Parmesan cheese
chicken_curry,"0.25 cup olive oil | 2 large onions, diced | 0.33333334326744 cup curry powder, or to taste | 6 skinless, boneless chicken breast halves - cut into strips"
chicken_quesadilla,"1 pound skinless, boneless chicken breast, diced | 1 (1.27 ounce) packet fajita seasoning | 1 tablespoon vegetable oil | 2 green bell peppers, chopped | 2 red bell peppers, chopped | 1 onion, chopped | 10 (10 inch) flour tortillas | 1 (8 ounce) package shredded Cheddar cheese | 1 (8 ounce) package shredded Monterey Jack cheese | 1 tablespoon bacon bits"
chicken_wings,"2 cups brown sugar | 1 cup yellow mustard | 0.25 cup soy sauce | 5 pounds chicken wings, cut into thirds and tips discarded"
chocolate_cake,1 cup evaporated milk | 1 cup brown sugar | 0.5 cup butter | 3 egg yolks | 1 teaspoon vanilla extract | 1.3333333730698 cups flaked coconut | 1 cup chopped pecans
chocolate_mousse,"1.5 cups cold milk | 1 (3.9 ounce) package instant chocolate pudding mix | 1 (16 ounce) container frozen whipped topping, thawed"
churros,"1 cup water | 2.5 tablespoons white sugar | 2 tablespoons vegetable oil | 0.5 teaspoon salt | 1 cup all-purpose flour | 2 quarts oil for frying | 0.5 cup white sugar, or to taste | 1 teaspoon ground cinnamon"
clam_chowder,"4 slices bacon, diced | 1.5 cups chopped onion | 4 cups peeled and cubed potatoes | 1.5 cups water | 1.5 teaspoons salt | 0.5 teaspoon ground black pepper to taste | 3 cups half-and-half | 3 tablespoons butter | 2 (10 ounce) cans minced clams"
club_sandwich,"2 slices bacon | 3 slices bread, toasted | 3 tablespoons mayonnaise | 2 leaves lettuce | 2 (1 ounce) slices cooked deli turkey breast | 2 slices tomato"
crab_cakes,1 egg | 3 tablespoons mayonnaise | 1 tablespoon minced green onions | 4 teaspoons lemon juice | 1 teaspoon dried tarragon | 0.125 teaspoon red pepper flakes | 8 ounces crabmeat | 0.5 cup crushed buttery round crackers | 1 tablespoon butter
creme_brulee,"1 cup heavy cream | 3 tablespoons white sugar | 3 large egg yolks | 0.25 teaspoon vanilla extract | 2 tablespoons white sugar, divided"
croque_madame,1 tablespoon butter | 1 cup shredded Cheddar cheese | 2 thick slices white bread | 2 slices ham | 1 egg
cup_cakes,"0.75 cup graham cracker crumbs | 0.25 cup chopped pecans | 3 tablespoons butter, melted | 0.75 cup fresh raspberries, crushed | 0.5 (8 ounce) package cream cheese | 10.5 fluid ounces sweetened condensed milk | 1 cup frozen whipped topping, thawed"
deviled_eggs,"6 hard-cooked eggs | 2 tablespoons mayonnaise | 1 teaspoon white sugar | 1 teaspoon white vinegar | 1 teaspoon prepared mustard | 1 tablespoon finely chopped onion | 1 tablespoon finely chopped celery | 0.5 teaspoon salt | 1 pinch paprika, or to taste"
donuts,"2 cups all-purpose flour | 0.5 cup packed brown sugar | 1.5 teaspoons baking powder | 1.5 teaspoons pumpkin pie spice | 0.5 teaspoon salt | 0.25 teaspoon baking soda | 1 cup pumpkin puree | 2 eggs | 0.25 cup milk | 0.25 cup butter, softened | 1.5 cups confectioners' sugar | 0.25 cup butter, melted | 2 tablespoons water | 1 teaspoon vanilla extract"
dumplings,"100 (3.5 inch square) wonton wrappers | 1.75 pounds ground pork | 1 tablespoon minced fresh ginger root | 4 cloves garlic, minced | 2 tablespoons thinly sliced green onion | 4 tablespoons soy sauce | 3 tablespoons sesame oil | 1 egg, beaten | 5 cups finely shredded Chinese cabbage"
edamame,1 (12 ounce) package frozen shelled edamame (green soybeans) | 1 tablespoon olive oil | 0.25 cup grated Parmesan cheese | salt and pepper to taste
eggs_benedict,"cooking spray | 2 cups milk | 8 large eggs | 3 stalks green onions, chopped | 1 teaspoon onion powder | 1 teaspoon salt | 0.75 pound Canadian bacon, cut into 1/2-inch dice | 6 English muffins, cut into 1/2-inch dice | 0.5 teaspoon ground paprika | 1 cup milk | 1 (.9 ounce) package Hollandaise sauce mix | 0.25 cup margarine"
escargots,"1 (7 ounce) can escargots, drained | 6 tablespoons butter | 1 clove garlic, minced | 20 mushrooms, stems removed | 0.33333334326744 cup white wine | 0.33333334326744 cup cream | 1 tablespoon all-purpose flour | 0.25 teaspoon dried tarragon | 1 pinch freshly ground black pepper, or to taste | 0.25 cup grated Parmesan cheese"
falafel,"1 cup dry garbanzo beans | 0.5 yellow onion, diced | 0.5 cup chopped fresh flat-leaf parsley | 4 cloves minced garlic | 1 tablespoon all-purpose flour, or more as needed | 2 teaspoons lemon juice | 1.5 teaspoons salt, or to taste | 1 teaspoon ground cumin | 0.5 teaspoon ground coriander | 0.25 teaspoon baking soda | 0.125 teaspoon cayenne pepper | oil for frying"
filet_mignon,"2 (4 ounce) filet mignon steaks | 0.5 teaspoon ground black pepper, or to taste | salt to taste | 0.25 cup balsamic vinegar | 0.25 cup dry red wine"
fish_and_chips,"4 large potatoes, peeled and cut into strips | 1 cup all-purpose flour | 1 teaspoon baking powder | 1 teaspoon salt | 1 teaspoon ground black pepper | 1 cup milk | 1 egg | 1 quart vegetable oil for frying | 1.5 pounds cod fillets"
foie_gras,"2 tablespoons vegetable oil | salt and pepper to taste | 6 (6 ounce) beef tenderloin filets | 1 cup chopped fresh mushrooms | 0.25 cup red wine | 1 cup beef consomme | 1 (3 ounce) jar foie gras pate | 1 (17.25 ounce) package frozen puff pastry, thawed | 1 egg, beaten | 3 tablespoons butter | 3 tablespoons all-purpose flour | 2 tablespoons chopped green onion | 1 cup beef consomme | 0.5 cup red wine | 2 tablespoons butter | 2 tablespoons chopped fresh parsley"
french_fries,"2.5 pounds russet potatoes, peeled | 1 cup vegetable oil for frying | 1 cup all-purpose flour | 1 teaspoon garlic salt | 1 teaspoon onion salt | 1 teaspoon paprika | 1 teaspoon salt | 0.5 cup water, or as needed"
french_onion_soup,"0.5 cup unsalted butter | 2 tablespoons olive oil | 4 cups sliced onions | 5 cups beef broth | 2 tablespoons dry sherry | 1 teaspoon dried thyme | 1 pinch salt and pepper to taste | 4 slices French bread | 4 slices provolone cheese | 2 slices Swiss cheese, diced | 0.25 cup grated Parmesan cheese"
french_toast,0.25 cup all-purpose flour | 1 cup milk | 3 eggs | 1 tablespoon white sugar | 1 teaspoon vanilla extract | 0.5 teaspoon ground cinnamon | 1 pinch salt | 12 thick slices bread
fried_calamari,"3 cups vegetable oil | 0.25 cup all-purpose flour | 1 teaspoon salt | 1 teaspoon dried oregano | 0.5 teaspoon ground black pepper | 12 squid, cleaned and sliced into rings | 1 lemon - cut into wedges, for garnish"
fried_rice,"0.66666668653488 cup chopped baby carrots | 0.5 cup frozen green peas | 2 tablespoons vegetable oil | 1 clove garlic, minced, or to taste | 2 large eggs | 3 cups leftover cooked white rice | 1 tablespoon soy sauce, or more to taste | 2 teaspoons sesame oil, or to taste"
frozen_yogurt,0.75 cup white sugar | 2 teaspoons cornstarch | 1 (12 fluid ounce) can fat-free evaporated milk | 0.5 cup semisweet chocolate chips | 1 cup plain lowfat yogurt | 1 teaspoon vanilla extract
garlic_bread,"0.5 cup butter, softened | 0.25 cup grated Parmesan cheese | 2 cloves garlic, minced | 0.25 teaspoon dried marjoram | 0.25 teaspoon dried basil | 0.25 teaspoon fines herbs | 0.25 teaspoon dried oregano | 0.25 teaspoon dried parsley, or to taste | ground black pepper to taste | 1 loaf unsliced Italian bread"
gnocchi,"2 (12 ounce) packages potato gnocchi | 0.25 cup butter | 1 clove garlic, minced | 1 teaspoon dried sage | 0.25 teaspoon salt | 0.25 cup grated Parmesan cheese | 0.25 teaspoon ground black pepper | 2 tablespoons grated Parmesan cheese"
greek_salad,"3 large ripe tomatoes, chopped | 2 medium cucumbers, peeled and chopped | 1 small red onion, chopped | 0.25 cup olive oil | 4 teaspoons lemon juice | 1.5 teaspoons dried oregano | salt and pepper to taste | 1 cup crumbled feta cheese | 6 black Greek olives, pitted and sliced"
grilled_cheese_sandwich,"4 slices white bread | 3 tablespoons butter, divided | 2 slices Cheddar cheese"
grilled_salmon,1.5 pounds salmon fillets | lemon pepper to taste | garlic powder to taste | salt to taste | 0.33333334326744 cup soy sauce | 0.33333334326744 cup brown sugar | 0.33333334326744 cup water | 0.25 cup vegetable oil
guacamole,"2 ripe avocados, peeled and pitted | 1 small onion, finely chopped | 1 ripe tomato, chopped | 1 clove garlic, minced | 1 lime, juiced | salt and pepper to taste"
gyoza,"1 tablespoon sesame oil | 2 cups chopped cabbage | 0.25 cup chopped onion | 0.25 cup chopped carrot | 1 clove garlic, chopped | 0.5 pound ground pork | 1 large egg | 1 (10 ounce) package wonton wrappers | 1 tablespoon vegetable oil | 0.25 cup water | 0.25 cup soy sauce | 2 tablespoons rice vinegar"
hamburger,"2 pounds ground beef | 0.75 cup dry bread crumbs | 3 tablespoons evaporated milk | 1 egg, beaten | 2 tablespoons Worcestershire sauce | 0.125 teaspoon cayenne pepper | 2 cloves garlic, minced"
hot_and_sour_soup,"0.75 ounce dried shiitake mushrooms | 2 tablespoons soy sauce, or more to taste | 0.25 cup seasoned rice vinegar | 1 teaspoon ground white pepper, or to taste | 0.25 teaspoon sesame oil | 3 tablespoons cornstarch, or as needed | 3 tablespoons water, or as needed | 2 teaspoons vegetable oil | 1 teaspoon minced fresh ginger root | 0.25 cup sliced green onions | 4 cups chicken broth | 0.25 cup grated carrot | 2 tablespoons thinly sliced red bell pepper | 0.5 cup bamboo shoots | 1 cup cubed tofu | 2 large eggs, beaten"
hot_dog,1 pound ground beef | 0.33333334326744 cup water | 0.5 (10 ounce) can tomato sauce | 0.5 cup ketchup | 2.5 teaspoons chili powder | 0.5 teaspoon salt | 0.5 teaspoon ground black pepper | 0.5 teaspoon white sugar | 0.5 teaspoon onion powder | 1 dash Worcestershire sauce
huevos_rancheros,"2 tablespoons vegetable oil | 4 (6 inch) corn tortillas | 1 cup refried beans with green chilies | 1 teaspoon butter | 4 eggs | 1 cup shredded Cheddar cheese | 8 slices bacon, cooked and crumbled | 0.5 cup salsa"
hummus,"1 (15 ounce) can garbanzo beans (chickpeas), drained | 3 tablespoons tahini | 2 tablespoons olive oil | 1 tablespoon fresh lemon juice | 0.25 cup water | 3 cloves garlic, crushed | 0.5 teaspoon ground cumin | 1 pinch paprika | 1 sprig fresh parsley, chopped"
ice_cream,2 cups mashed fresh strawberries | 2 cups whole milk | 2 cups heavy cream | 1 cup white sugar | 2 teaspoons vanilla extract | 0.25 teaspoon salt | 2 drops red food coloring
lasagna,"1 (8 ounce) package lasagna noodles | 3 cups heavy cream | 2 (10.75 ounce) cans condensed cream of mushroom soup | 1 cup grated Parmesan cheese | 0.25 cup butter | 1 tablespoon olive oil | 0.5 large onion, diced | 4 cloves garlic, sliced | 5 mushrooms, diced | 1 roasted chicken, shredded | salt and ground black pepper to taste | 1 cup ricotta cheese | 1 bunch fresh spinach, rinsed | 3 cups shredded mozzarella cheese"
lobster_bisque,3 tablespoons butter | 0.25 cup chopped fresh mushrooms | 2 tablespoons chopped onion | 2 tablespoons chopped celery | 2 tablespoons chopped carrot | 1 (14.5 ounce) can chicken broth | 0.125 teaspoon salt | 0.125 teaspoon cayenne pepper | 1.5 cups half-and-half | 0.5 cup dry white wine | 0.5 pound cooked lump lobster meat
lobster_roll_sandwich,"1 (8 ounce) package imitation crab or lobster meat | 0.25 cup mayonnaise | 1 tablespoon finely chopped red onion | 1 teaspoon lemon juice | 0.25 teaspoon OLD BAY® Seasoning | 1 tablespoon butter, softened | 2 hot dog buns"
macaroni_and_cheese,"2 slices bacon | 8 ounces penne pasta | 1 onion, chopped | 1 clove garlic, minced | 3 cups shredded Cheddar cheese | 2 tablespoons butter | 3 tablespoons all-purpose flour | 2 cups milk"
macarons,3 egg whites | 0.25 cup white sugar | 1.6666667461395 cups confectioners' sugar | 1 cup finely ground almonds
miso_soup,"4 cups water | 2 teaspoons dashi granules | 3 tablespoons miso paste | 1 (8 ounce) package silken tofu, diced | 2 green onions, sliced diagonally into 1/2 inch pieces"
mussels,"2 tablespoons butter | 4 cloves garlic, minced | 1 lemon, zested | 0.5 teaspoon red pepper flakes, or to taste | 2 cups white wine | freshly ground black pepper to taste | 2 pounds mussels, cleaned and debearded | 1 cup chopped fresh flat-leaf parsley"
nachos,2 tablespoons butter | 2 tablespoons all-purpose flour | 1 cup milk | 7 slices processed American cheese | 0.5 teaspoon salt
omelette,"3 large fresh eggs | 0.5 teaspoon cold water | 0.25 teaspoon kosher salt | 2 tablespoons unsalted butter, divided | 1 pinch cayenne or white pepper to taste"
onion_rings,"1 large Vidalia or other sweet onion | 1 quart oil for frying, or as needed | 1.25 cups all-purpose flour | 1 teaspoon baking powder | 1 teaspoon salt | 1 cup milk, or as needed | 1 large egg | 0.75 cup dry bread crumbs | 0.125 teaspoon seasoned salt, or to taste"
oysters,"0.5 cup butter | 1 cup minced celery | 3 tablespoons minced shallots | 1 quart half-and-half cream | 2 (12 ounce) containers fresh shucked oysters, undrained | 1 pinch cayenne pepper, or to taste | salt and ground black pepper to taste"
pad_thai,"1 (12 ounce) package rice noodles | 2 tablespoons butter | 1 pound boneless, skinless chicken breast halves, cut into bite-sized pieces | 0.25 cup vegetable oil | 4 eggs | 3 tablespoons white sugar | 2 tablespoons fish sauce | 1 tablespoon white wine vinegar | 0.125 tablespoon crushed red pepper | 2 cups bean sprouts | 3 green onions, chopped | 0.25 cup crushed peanuts | 1 lemon, cut into wedges"
paella,"2 tablespoons olive oil | 1 tablespoon ground paprika | 2 teaspoons dried oregano | salt and ground black pepper to taste | 2 pounds skinless, boneless chicken breasts, cut into 2 inch pieces | 2 tablespoons olive oil, divided | 3 cloves garlic, crushed | 1 teaspoon crushed red pepper flakes | 2 cups uncooked short-grain white rice | 1 pinch saffron threads | 1 large bay leaf | 0.5 bunch Italian flat leaf parsley, chopped | 1 quart chicken stock | 2 medium lemons, zested | 2 tablespoons olive oil | 1 medium Spanish onion, chopped | 1 medium red bell pepper, coarsely chopped | 1 pound shrimp, peeled and deveined | 1 pound chorizo sausage, casings removed and crumbled"
pancakes,5 cups all-purpose flour | 1.25 cups powdered milk | 0.25 cup white sugar | 0.25 cup baking powder | 1 tablespoon salt
panna_cotta,0.33333334326744 cup skim milk | 1 (.25 ounce) envelope unflavored gelatin | 2.5 cups heavy cream | 0.5 cup white sugar | 1.5 teaspoons vanilla extract
peking_duck,"1 (4 pound) whole duck, dressed | 0.5 teaspoon ground cinnamon | 0.5 teaspoon ground ginger | 0.25 teaspoon ground nutmeg | 0.25 teaspoon ground white pepper | 0.125 teaspoon ground cloves | 3 tablespoons soy sauce, divided | 1 tablespoon honey | 5 green onions, divided | 0.5 cup plum jam | 0.25 cup finely chopped chutney | 1.5 teaspoons sugar | 1.5 teaspoons distilled white vinegar | 1 orange, sliced in rounds | 1 tablespoon chopped fresh parsley, for garnish"
pho,"5 pounds beef soup bones | 1 tablespoon salt, divided | 2 gallons water | 2 medium onions, quartered | 1 (4 inch) piece fresh ginger root | 2 pounds beef oxtail | 1 white (daikon) radish, sliced | 2 ounces whole star anise pods | 0.5 (3 inch) cinnamon stick | 1 teaspoon black peppercorns | 2 whole cloves | 1 tablespoon white sugar | 1 tablespoon fish sauce | salt to taste | 1.5 pounds dried flat rice noodles | 0.5 pound frozen beef sirloin"
pizza,1.3333333730698 cups all-purpose flour | 1 teaspoon baking powder | 0.5 teaspoon salt | 0.5 cup fat-free milk | 2 tablespoons olive oil
pork_chop,"2 tablespoons vegetable oil | 4 thick cut pork chops | 3 cups day-old bread cubes | 0.25 cup butter, melted | 0.25 cup chicken broth | 2 tablespoons chopped celery | 2 tablespoons chopped onion | 0.25 teaspoon poultry seasoning | 1 (10.5 ounce) can condensed cream of mushroom soup | 0.33333334326744 cup water"
poutine,"1 quart vegetable oil for frying | 1 (10.25 ounce) can beef gravy | 5 medium potatoes, cut into fries | 2 cups cheese curds"
prime_rib,"4 beef ribs, trimmed from a cooked prime rib roast | 2 cups beef stock | 1 potato, peeled and cut into 3/4 inch pieces | 1 large carrot | 1 (8 ounce) package sliced fresh mushrooms | 1 teaspoon salt | 1 teaspoon black pepper | 0.25 cup chopped fresh chives"
pulled_pork_sandwich,"1.5 cups barbecue sauce, or as needed | 0.5 cup chopped white onion | 0.25 cup ketchup | 0.25 cup brown sugar | 1 teaspoon salt | 1 teaspoon ground black pepper | 0.5 teaspoon chili powder | 1 pound boneless pork loin, quartered | 4 onion rolls, halved"
ramen,"1 (3 ounce) package ramen noodles (any flavor) | 1 teaspoon chopped fresh parsley, or to taste | 1 tablespoon vegetable oil | 0.5 onion, chopped | 2 large eggs | 1 teaspoon water, or as desired | 1 pinch salt"
ravioli,"1 egg white | 1 teaspoon water | 1 cup bread crumbs | 1 teaspoon dried oregano | 1 teaspoon dried basil | 2 tablespoons freshly grated Parmesan cheese | 1 (25 ounce) package cheese ravioli, thawed if frozen | cooking spray"
red_velvet_cake,"1.5 cups white sugar | 0.5 cup shortening | 2 eggs | 4 tablespoons red food coloring | 2 tablespoons cocoa | 1 cup buttermilk | 1 teaspoon salt | 1 teaspoon vanilla extract | 2.5 cups sifted all-purpose flour | 1 tablespoon distilled white vinegar | 1.5 teaspoons baking soda | 1 cup milk | 5 tablespoons all-purpose flour | 1 cup white sugar | 1 cup butter, room temperature | 1 teaspoon vanilla extract"
risotto,"6 cups chicken broth, or as needed | 3 tablespoons olive oil, divided | 1 pound portobello mushrooms, thinly sliced | 1 pound white mushrooms, thinly sliced | 2 medium shallots, diced | 1.5 cups Arborio rice | 0.5 cup dry white wine | 0.33333334326744 cup freshly grated Parmesan cheese | 4 tablespoons butter | 3 tablespoons finely chopped chives | sea salt and freshly ground black pepper to taste"
samosa,"2 large potatoes, peeled | 1 cup frozen peas, thawed | 2 tablespoons vegetable oil | 0.5 teaspoon cumin seeds | 1 bay leaf, crushed | 1 pound ground beef | 2 large onions, finely chopped | 4 cloves garlic, crushed | 1 tablespoon minced fresh ginger root | 1.5 teaspoons salt | 1 teaspoon ground cumin | 1 teaspoon ground coriander | 1 teaspoon ground turmeric | 1 teaspoon chili powder | 0.5 teaspoon ground cinnamon | 0.5 teaspoon ground cardamom | 0.5 teaspoon ground black pepper | 1 quart oil for deep frying | 2 tablespoons chopped fresh cilantro | 2 tablespoons chopped green chile peppers | 1 (16 ounce) package phyllo dough"
sashimi,1 pound sashimi grade yellowfin tuna | kosher salt to taste | fresh ground black pepper to taste | 0.5 cup Italian seasoned bread crumbs | 3 tablespoons olive oil
scallops,"4 tablespoons butter, melted | 1.5 pounds bay scallops, rinsed and drained | 0.5 cup seasoned dry bread crumbs | 0.25 cup grated Parmesan cheese | 3 cloves garlic, minced | 1 teaspoon onion powder | 1 teaspoon garlic powder | 0.5 teaspoon paprika | 0.5 teaspoon dried parsley"
seaweed_salad,"2 ounces dried kombu (dried kelp) | 2 tablespoons honey | 2 tablespoons soy sauce | 2 tablespoons grated fresh ginger | 3 teaspoons rice vinegar | 2 small carrots, peeled and sliced into thin strips | 2 small cucumbers, peeled and sliced into small strips | 2 teaspoons sesame seeds"
shrimp_and_grits,"4 slices bacon, cut into 1/4-inch pieces | 0.25 cup water | 2 tablespoons heavy whipping cream | 2 teaspoons lemon juice | 1 dash Worcestershire sauce | 4 cups water | 2 tablespoons butter | 1 teaspoon salt | 1 cup white grits | 0.5 cup shredded white Cheddar cheese | 1 pound shrimp, peeled and deveined | 0.5 teaspoon Cajun seasoning | 0.5 teaspoon salt, or to taste | 0.25 teaspoon ground black pepper | 1 pinch cayenne pepper | 1 tablespoon minced jalapeno pepper | 2 tablespoons minced green onion | 3 cloves garlic, minced | 1 tablespoon chopped fresh parsley"
spaghetti_bolognese,"1 (16 ounce) package spaghetti | 2 tablespoons olive oil | 3 slices bacon, diced | 1 large onion, finely chopped | 1 stalk celery, finely chopped | 1 carrot, finely chopped | 1 teaspoon dried oregano | 3 cloves garlic, minced | 1 pound lean ground beef | 2 tablespoons balsamic vinegar | 2 (28 ounce) cans crushed tomatoes | 2 tablespoons tomato paste | 2 teaspoons white sugar | salt and ground black pepper to taste | 2 tablespoons chopped fresh basil | 0.25 cup freshly grated Parmesan cheese"
spaghetti_carbonara,"1 pound spaghetti | 2 tablespoons olive oil, divided, or as needed | 8 slices bacon, diced | 1 onion, chopped | 1 clove garlic, minced | 0.25 cup dry white wine | 4 large eggs, beaten | 0.5 cup grated Parmesan cheese | salt and black pepper to taste | 2 tablespoons chopped fresh parsley | 2 tablespoons grated Parmesan cheese"
spring_rolls,"2 ounces rice vermicelli | 8 rice wrappers (8.5 inch diameter) | 8 large cooked shrimp - peeled, deveined and cut in half | 2 leaves lettuce, chopped | 3 tablespoons chopped fresh mint leaves | 3 tablespoons chopped fresh cilantro | 1.3333333730698 tablespoons chopped fresh Thai basil | 0.25 cup water | 2 tablespoons fresh lime juice | 2 tablespoons white sugar | 4 teaspoons fish sauce | 1 clove garlic, minced | 0.5 teaspoon garlic chili sauce | 3 tablespoons hoisin sauce | 1 teaspoon finely chopped peanuts"
steak,"0.5 cup vegetable oil | 0.33333334326744 cup low-sodium soy sauce | 0.25 cup red wine vinegar | 2 tablespoons fresh lemon juice | 1.5 tablespoons Worcestershire sauce | 1 tablespoon Dijon mustard | 2 cloves garlic, minced | 0.5 teaspoon ground black pepper | 1 (1 1/2-pound) flank steak"
strawberry_shortcake,"3 pints fresh strawberries | 0.5 cup white sugar | 2.25 cups all-purpose flour | 2 tablespoons white sugar | 4 teaspoons baking powder | 0.25 teaspoon salt | 0.33333334326744 cup shortening | 1 egg | 3/4 cup half-and-half | 2 teaspoons vanilla extract, divided | 2 cups whipped heavy cream | 1/4 cup powdered sugar"
sushi,2 cups uncooked glutinous white rice (sushi rice) | 3 cups water | 0.5 cup rice vinegar | 0.25 cup white sugar | 1 tablespoon vegetable oil | 1 teaspoon salt
tacos,1 pound lean ground beef | 3/4 cup water | 1 (1 ounce) package taco seasoning mix | 4 (2.5 ounce) packages corn chips | 2 cups shredded lettuce | 1 cup shredded Cheddar cheese | 1 chopped fresh tomato | 0.5 cup sour cream | 0.33333334326744 cup salsa
takoyaki,1 tablespoon oyster sauce | 2 teaspoons Worcestershire sauce | 2 teaspoons honey | 1 teaspoon ketchup
tiramisu,"6 egg yolks | 1.25 cups white sugar | 1.25 cups mascarpone cheese | 1.75 cups heavy whipping cream | 2 (12 ounce) packages ladyfingers | 0.33333334326744 cup coffee flavored liqueur | 1 teaspoon unsweetened cocoa powder, for dusting | 1 (1 ounce) square semisweet chocolate"
