Clase_Plato,Ingredientes_Allrecipes
deviled_eggs,hard eggs | mayonnaise | white sugar | white vinegar | mustard | onion | celery | salt | paprika or
donuts,all purpose flour | packed brown sugar | baking powder | pumpkin pie spice | salt | baking soda | pumpkin puree | eggs | milk | butter | confectioners' sugar | water | vanilla extract
dumplings,wonton wrappers | pork | ginger root | garlic | thinly green onion | soy sauce | sesame oil | egg | shredded chinese cabbage
edamame,frozen shelled edamame | olive oil | parmesan cheese | salt | pepper
eggs_benedict,cooking spray | milk | eggs | green onions | onion powder | salt | canadian bacon dice | english muffins dice | paprika | hollandaise sauce mix | margarine
escargots,escargots | butter | garlic | mushrooms stems removed | white wine | cream | all purpose flour | dried tarragon | black pepper or | parmesan cheese
falafel,dry garbanzo beans | yellow onion | flat leaf parsley | garlic | all purpose flour or more as needed | lemon juice | salt or | cumin | coriander | baking soda | cayenne pepper | oil for frying
filet_mignon,filet mignon steaks | black pepper or | salt | balsamic vinegar | dry red wine
fish_and_chips,potatoes | strips | all purpose flour | baking powder | salt | black pepper | milk | egg | vegetable oil for frying | cod fillets
foie_gras,vegetable oil | salt | pepper | beef tenderloin filets | mushrooms | red wine | beef consomme | foie gras pate | frozen puff pastry thawed | egg | butter | all purpose flour | green onion | parsley
french_fries,russet potatoes | vegetable oil for frying | all purpose flour | garlic salt | onion salt | paprika | salt | water or as needed
french_onion_soup,unsalted butter | olive oil | onions | beef broth | dry sherry | dried thyme | salt | pepper | french bread | provolone cheese | swiss cheese | parmesan cheese
french_toast,all purpose flour | milk | eggs | white sugar | vanilla extract | cinnamon | salt | bread
fried_calamari,vegetable oil | all purpose flour | salt | dried oregano | black pepper | squid cleaned | into rings | lemon wedges for garnish
fried_rice,baby carrots | frozen green peas | vegetable oil | garlic or | eggs | leftover white rice | soy sauce or more | sesame oil or
frozen_yogurt,white sugar | cornstarch | fat free evaporated milk | semisweet chocolate chips | plain lowfat yogurt | vanilla extract
garlic_bread,butter | parmesan cheese | garlic | dried marjoram | dried basil | fines herbs | dried oregano | dried parsley or | black pepper | loaf unsliced italian bread
gnocchi,potato gnocchi | butter | garlic | dried sage | salt | parmesan cheese | black pepper
greek_salad,ripe tomatoes | cucumbers | red onion | olive oil | lemon juice | dried oregano | salt | pepper | crumbled feta cheese | black greek olives pitted
grilled_cheese_sandwich,white bread | butter | cheddar cheese
grilled_salmon,salmon fillets | lemon pepper | garlic powder | salt | soy sauce | brown sugar | water | vegetable oil
guacamole,ripe avocados | pitted | onion | ripe tomato | garlic | lime juiced | salt | pepper
gyoza,sesame oil | cabbage | onion | carrot | garlic | pork | egg | wonton wrappers | vegetable oil | water | soy sauce | rice vinegar
hamburger,beef | dry bread crumbs | evaporated milk | egg | worcestershire sauce | cayenne pepper | garlic
hot_and_sour_soup,dried shiitake mushrooms | soy sauce or more | seasoned rice vinegar | white pepper or | sesame oil | cornstarch or as needed | water or as needed | vegetable oil | ginger root | green onions | chicken broth | carrot | thinly red bell pepper | bamboo shoots | cubed tofu | eggs
hot_dog,beef | water | tomato sauce | ketchup | chili powder | salt | black pepper | white sugar | onion powder | worcestershire sauce
huevos_rancheros,vegetable oil | corn tortillas | refried beans with green chilies | butter | eggs | shredded cheddar cheese | bacon | crumbled | salsa
hummus,garbanzo beans | tahini | olive oil | lemon juice | water | garlic | cumin | paprika | sprig parsley
ice_cream,mashed strawberries | milk | heavy cream | white sugar | vanilla extract | salt | drops red food coloring
lasagna,lasagna noodles | heavy cream | condensed cream of mushroom soup | parmesan cheese | butter | olive oil | onion | garlic | mushrooms | roasted chicken shredded | salt | black pepper | ricotta cheese | bunch spinach | shredded mozzarella cheese
lobster_bisque,butter | mushrooms | onion | celery | carrot | chicken broth | salt | cayenne pepper | dry white wine | lump lobster meat
lobster_roll_sandwich,imitation crab or lobster meat | mayonnaise | red onion | lemon juice | old bay® seasoning | butter | hot dog buns
macaroni_and_cheese,bacon | penne pasta | onion | garlic | shredded cheddar cheese | butter | all purpose flour | milk
macarons,egg whites | white sugar | confectioners' sugar | almonds
miso_soup,water | dashi granules | miso paste | silken tofu | green onions diagonally into
mussels,butter | garlic | lemon zested | red pepper flakes or | white wine | black pepper | mussels cleaned | debearded | flat leaf parsley
nachos,butter | all purpose flour | milk | processed american cheese | salt
omelette,eggs | cold water | kosher salt | unsalted butter | cayenne or white pepper
onion_rings,vidalia or other sweet onion | oil for frying or as needed | all purpose flour | baking powder | salt | milk or as needed | egg | dry bread crumbs | seasoned salt or
oysters,butter | celery | shallots | cream | containers shucked oysters undrained | cayenne pepper or | salt | black pepper
pad_thai,rice noodles | butter | boneless skinless chicken breast bite sized | vegetable oil | eggs | white sugar | fish sauce | white wine vinegar | red pepper | bean sprouts | green onions | peanuts | lemon wedges
paella,olive oil | paprika | dried oregano | salt | black pepper | skinless boneless chicken breasts | garlic | red pepper flakes | uncooked short grain white rice | saffron threads | bay leaf | bunch italian flat leaf parsley | chicken stock | lemons zested | spanish onion | red bell pepper coarsely | shrimp | deveined | chorizo sausage casings removed | crumbled
pancakes,all purpose flour | powdered milk | white sugar | baking powder | salt
panna_cotta,skim milk | unflavored gelatin | heavy cream | white sugar | vanilla extract
peking_duck,duck dressed | cinnamon | ginger | nutmeg | white pepper | soy sauce | honey | green onions | plum jam | chutney | sugar | distilled white vinegar | orange in rounds | parsley for garnish
pho,beef soup bones | salt | water | onions quartered | ginger root | beef oxtail | white radish | star anise pods | cinnamon stick | black peppercorns | white sugar | fish sauce | dried flat rice noodles | frozen beef sirloin
pizza,all purpose flour | baking powder | salt | fat free milk | olive oil
pork_chop,vegetable oil | cut pork chops | day old bread cubes | butter | chicken broth | celery | onion | poultry seasoning | condensed cream of mushroom soup | water
poutine,vegetable oil for frying | beef gravy | potatoes fries | cheese curds
prime_rib,beef ribs from a prime rib roast | beef stock | potato | carrot | mushrooms | salt | black pepper | chives
pulled_pork_sandwich,barbecue sauce or as needed | white onion | ketchup | brown sugar | salt | black pepper | chili powder | boneless pork loin quartered | onion rolls halved
ramen,ramen noodles | parsley or | vegetable oil | onion | eggs | water or as desired | salt
ravioli,egg white | water | bread crumbs | dried oregano | dried basil | parmesan cheese | cheese ravioli thawed if frozen | cooking spray
red_velvet_cake,white sugar | shortening | eggs | red food coloring | cocoa | buttermilk | salt | vanilla extract | sifted all purpose flour | distilled white vinegar | baking soda | milk | all purpose flour | butter room temperature
risotto,chicken broth or as needed | olive oil | portobello mushrooms thinly | white mushrooms thinly | shallots | arborio rice | dry white wine | parmesan cheese | butter | chives | sea salt | black pepper
samosa,potatoes | frozen peas thawed | vegetable oil | cumin seeds | bay leaf | beef | onions | garlic | ginger root | salt | cumin | coriander | turmeric | chili powder | cinnamon | cardamom | black pepper | oil for deep frying | cilantro | green chile peppers | phyllo dough
sashimi,sashimi grade yellowfin tuna | kosher salt | black pepper | italian seasoned bread crumbs | olive oil
scallops,butter | bay scallops | seasoned dry bread crumbs | parmesan cheese | garlic | onion powder | garlic powder | paprika | dried parsley
seaweed_salad,dried kombu | honey | soy sauce | ginger | rice vinegar | carrots | into thin strips | cucumbers | into strips | sesame seeds
shrimp_and_grits,bacon | water | heavy whipping cream | lemon juice | worcestershire sauce | butter | salt | white grits | shredded white cheddar cheese | shrimp | deveined | cajun seasoning | salt or | black pepper | cayenne pepper | jalapeno pepper | green onion | garlic | parsley
spaghetti_bolognese,spaghetti | olive oil | bacon | onion | celery | carrot | dried oregano | garlic | lean beef | balsamic vinegar | tomatoes | tomato paste | white sugar | salt | black pepper | basil | parmesan cheese
spaghetti_carbonara,spaghetti | olive oil or as needed | bacon | onion | garlic | dry white wine | eggs | parmesan cheese | salt | black pepper | parsley
spring_rolls,rice vermicelli | rice wrappers | shrimp deveined | cut in | leaves lettuce | mint leaves | cilantro | thai basil | water | lime juice | white sugar | fish sauce | garlic | garlic chili sauce | hoisin sauce | peanuts
steak,vegetable oil | low sodium soy sauce | red wine vinegar | lemon juice | worcestershire sauce | dijon mustard | garlic | black pepper | flank steak
strawberry_shortcake,strawberries | white sugar | all purpose flour | baking powder | salt | shortening | egg | vanilla extract | whipped heavy cream | powdered sugar
sushi,uncooked glutinous white rice | water | rice vinegar | white sugar | vegetable oil | salt
tacos,lean beef | water | taco seasoning mix | corn chips | shredded lettuce | shredded cheddar cheese | tomato | sour cream | salsa
takoyaki,oyster sauce | worcestershire sauce | honey | ketchup
tiramisu,egg yolks | white sugar | mascarpone cheese | heavy whipping cream | ladyfingers | coffee flavored liqueur | unsweetened cocoa powder for dusting | semisweet chocolate
tuna_tartare,olive oil | sesame seeds | wasabi powder | cracked black pepper | sushi grade tuna | french bread
waffles,eggs | all purpose flour | milk | vegetable oil | white sugar | baking powder | salt | vanilla extract | nonstick cooking spray
